X,Y,Z,id,localidade,regiao
-48.5233668624379,-26.370962238401,0,"1",tamboretes_norte,entorno
-48.5255366220439,-26.3837610735451,0,"2",tamboretes_sul,entorno
-48.5843810518641,-26.4988681939076,0,"3",tipitinga,entorno
-48.5608844779032,-26.51444102551,0,"4",ilha_dos_lobos,entorno
-48.5434852030882,-27.1373268242936,0,"5",ilha_porto_belo,entorno
-48.5249186525358,-27.1212870823963,0,"6",estaleiro_2,entorno
-48.5154156547679,-27.1176616612825,0,"7",estaleiro_1,entorno
-48.4810565501214,-27.1364479343266,0,"8",sepultura,entorno
-48.4682851802888,-27.2048090945706,0,"9",ilha_do_macuco,entorno
-48.4048952414206,-27.1827681821175,0,"10",saco_da_mulata_norte,rebio
-48.4075456439772,-27.1866682563459,0,"11",saco_da_mulata_sul,rebio
-48.4098733291242,-27.1863318062804,0,"12",portinho_sul,rebio
-48.4094544831243,-27.1832144934288,0,"13",portinho_norte,rebio
-48.4094544831243,-27.1813743175605,0,"14",toca_da_salema,rebio
-48.4065225611251,-27.1786346527415,0,"15",enseada_do_lili,rebio
-48.4097463020586,-27.1797796129134,0,"16",naufragio_do_lili,rebio
-48.4096982377636,-27.1882389288455,0,"17",gale_sul,rebio
-48.3310856500142,-27.2702778142005,0,"18",deserta_norte,rebio
-48.3336399239807,-27.2735736515767,0,"19",deserta_sul,rebio
-48.3612013640389,-27.2736011168882,0,"20",saquinho_dagua,rebio
-48.3646482606281,-27.2745212048223,0,"21",costao_do_saco_dagua,rebio
-48.3677655734797,-27.2736423148554,0,"22",saco_dagua,rebio
-48.3697018779382,-27.2703876754464,0,"23",saco_do_letreiro,rebio
-48.3727917254784,-27.2725711677081,0,"24",letreiro,rebio
-48.3746868319697,-27.2776247850182,0,"25",rancho_norte,rebio
-48.3787928960342,-27.2789843179359,0,"26",pedra_do_elefante,rebio
-48.3775157590509,-27.2816896511155,0,"27",costa_do_elefante,rebio
-48.3741237930846,-27.2836534208855,0,"28",saco_do_capim,entorno_imediato
-48.3707592924298,-27.2852601416064,0,"29",saco_do_batismo,entorno_imediato
-48.3690701757745,-27.2887619688185,0,"30",baia_das_tartarugas,entorno_imediato
-48.3672711978733,-27.2926895083585,0,"31",engenho,entorno_imediato
-48.3662412486933,-27.2960952069805,0,"32",ponta_do_meio,entorno_imediato
-48.3609541762357,-27.2959578804232,0,"33",farol,entorno_imediato
-48.3585234961708,-27.2979216501931,0,"34",vidal,entorno_imediato
-48.3577407347939,-27.2929092308502,0,"35",saco_das_balas,rebio
-48.4353027743796,-27.3906720070207,0,"36",ponta_das_canas,entorno
-48.4203067143181,-27.3829542544982,0,"37",lagoinha_do_norte,entorno
-48.3680951572174,-27.4245916666837,0,"38",mata_fome,entorno
-48.3649091810871,-27.4870203196506,0,"39",aranhas_oeste,entorno
-48.358097783843,-27.4846033722414,0,"40",aranhas_leste,entorno
-48.3866067771468,-27.6091860250604,0,"41",xavier,entorno
