id,localidade,loc_mapa,x,y,comp_m,auxiliary_storage_labeling_positiony,auxiliary_storage_labeling_positionx
"14",rancho_norte,Rancho Norte,,,702.405,,
"12",saco_do_letreiro,Saco do Letreiro,,,209.276,,
"11",saco_dagua,Saco dágua,,,558.439,,
"9",saquinho_dagua,Saquinho Dágua,,-27.2736,289.082,,-48.3621899423917
"15",costa_do_elefante,Costa do Elefante,,,667.941,,
"16",saco_do_capim,Saco do Capim,,,539.427,,
"18",baia_das_tartarugas,Baia das Tartarugas,,,470.878,,
"24",pedra_do_elefante,Pedra do Elefante,,,265.827,,
"25",deserta_norte,Deserta Norte,,,529.261,,
"26",deserta_sul,Deserta Sul,,,430.746,,
"21",farol,Baía do Farol,,,561.107,,
"22",vidal,Saco do Vidal,,,391.929,,
"17",saco_do_batismo,Saco do Batismo,,,413.894,,
"7",saco_da_mulata_norte,Saco da Mulata Norte,,,407.004,,
"6",saco_da_mulata_sul,Saco da Mulata Sul,,,554.630,,
"19",engenho,Saco do Engenho,,,430.834,,
"13",letreiro,Ponta do Letreiro,,,471.629,,
"20",ponta_do_meio,Ponta do Meio,,,314.530,,
"1",enseada_do_lili,Enseada do Lili,,,634.057,,
"2",toca_da_salema,Toca da Salema,,,222.047,,
"3",portinho_norte,Portinho Norte,,,422.674,,
"4",portinho_sul,Portinho Sul,,,401.159,,
"5",gale_sul,Galé Sul,,,157.151,,
"23",saco_das_balas,Saco das Balas,,,688.834,,
"10",costao_do_saco_dagua,Costão do Saco Dágua,,-27.2752,433.933,,-48.3651104425892
"8",naufragio_do_lili,Naufrágio do Lili,,,46.526,,
"25",aranhas_oeste,Ilha das Aranhas Oeste,,,493.065,,
"27",aranhas_leste,Ilha das Aranhas Leste,,,479.368,,
"28",mata_fome,Ilha Mata Fome,,,409.243,,
"30",ilha_do_macuco,Ilha do Macuco,,,955.613,,
"31",sepultura,Sepultura,,,478.633,,
"32",estaleiro_1,Estaleiro 1,,,801.763,,
"33",estaleiro_2,Estaleiro 2,,,662.461,,
"34",ilha_porto_belo,Ilha de Porto Belo,,,480.381,,
"35",ilha_dos_lobos,Ilha dos Lobos,,,850.642,,
"36",tipitinga,Ilha Tipitinga,,,503.018,,
"37",tamboretes_norte,Tamboretes Norte,,,814.655,,
"29",tamboretes_sul,Tamboretes Sul,,,942.781,,
"38",xavier,Ilha do Xavier,,,652.198,,
"40",lagoinha_do_norte,Lagoinha do Norte,,,1022.968,,
"39",ponta_das_canas,Ponta_das_Canas,,,663.035,,
