id;localidade;loc_mapa;comp_m
1;enseada_do_lili;Enseada do Lili;634,057
2;toca_da_salema;Toca da Salema;222,047
3;portinho_norte;Portinho Norte;422,674
4;portinho_sul;Portinho Sul;401,159
5;gale_sul;Galé Sul;157,151
6;saco_da_mulata_sul;Saco da Mulata Sul;554,630
7;saco_da_mulata_norte;Saco da Mulata Norte;407,004
8;naufragio_do_lili;Naufrágio do Lili;93,052
9;saquinho_dagua;Saquinho Dágua;289,082
10;costao_do_saco_dagua;Costão do Saco Dágua;433,933
11;saco_dagua;Saco dágua;558,439
12;saco_do_letreiro;Saco do Letreiro;209,276
13;letreiro;Ponta do Letreiro;471,629
14;rancho_norte;Rancho Norte;702,405
15;costa_do_elefante;Costa do Elefante;667,941
16;saco_do_capim;Saco do Capim;539,427
17;saco_do_batismo;Saco do Batismo;413,894
18;baia_das_tartarugas;Baia das Tartarugas;470,878
19;engenho;Saco do Engenho;430,834
20;ponta_do_meio;Ponta do Meio;314,530
21;farol;Baía do Farol;561,107
22;vidal;Saco do Vidal;391,929
23;saco_das_balas;Saco das Balas;688,834
24;pedra_do_elefante;Pedra do Elefante;265,827
25;aranhas_oeste;Ilha das Aranhas Oeste;493,065
26;deserta_sul;Deserta Sul;430,746
27;aranhas_leste;Ilha das Aranhas Leste;479,368
28;mata_fome;Ilha Mata Fome;409,243
29;tamboretes_sul;Tamboretes Sul;942,781
30;macuco;Ilha do Macuco;955,613
31;sepultura;Sepultura;478,633
32;estaleiro_1;Estaleiro 1;801,763
33;estaleiro_2;Estaleiro 2;662,461
34;ilha_porto_belo;Ilha de Porto Belo;480,381
35;ilha_dos_lobos;Ilha dos Lobos;850,642
36;tipitinga;Ilha Tipitinga;503,018
37;tamboretes_norte;Tamboretes Norte;814,655
38;xavier;Ilha do Xavier;652,198
39;ponta_das_canas;Ponta_das_Canas;663,035
40;lagoinha_do_norte;Lagoinha do Norte;1022,968
41;campeche_sul;Campeche Sul;682,266
42;irma_de_fora;Irmã de Fora;373,717
43;moleques_do_sul;Moleques do Sul;309,525
44;irma_do_meio;Irmã do Meio;543,214
45;ilha_do_coral;Ilha do Coral;554,886
46;macuco_sul;Ilha do Macuco Sul;673,900
47;campeche_norte;Campeche Norte;544,656
48;deserta_norte;Deserta Norte;529,261
